,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
1190289,15693441,08/15/2022 02:00:00 PM,08/15/2022 06:12:00 PM,08/15/2022 06:12:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"132 9TH ST, SAN FRANCISCO, CA, 94103",9TH ST,6.0,South of Market,SOUTHERN,37.775712096774,-122.414211688673,"(37.7757121, -122.41421169)",Mobile/Open311,http://mobile311.sfgov.org/reports/15693441/photos,32.0,1.0,10.0,34.0,9.0,8.0,2.0,28853.0,2.0,34.0,34.0,,32.0,1.0,10.0,,,1.0,,,1.0,2.0,1.0,1.0,,,32.0
4596041,12042773,02/05/2020 12:48:00 PM,02/05/2020 03:40:56 PM,02/05/2020 03:40:56 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of 15TH ST and CAPP ST,15TH ST,9.0,Mission,MISSION,37.766738891602,-122.418731689453,"(37.76673889, -122.41873169)",Phone,,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28853.0,4.0,19.0,19.0,12.0,53.0,,2.0,14.0,,3.0,14.0,,,2.0,,3.0,,,53.0
246937,501200,09/08/2009 12:00:07 PM,09/17/2009 09:54:13 AM,09/17/2009 09:54:13 AM,Closed,DPT Abandoned Vehicles - Gone on Arrival - 246 09/16/09 @1530hrs,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - PickupTruck,Black - chevy - na - 7A88237,Intersection of EXCELSIOR AVE and MUNICH ST,EXCELSIOR AVE,11.0,Excelsior,INGLESIDE,37.722434997559,-122.425651550293,"(37.722435, -122.42565155)",Phone,,90.0,9.0,1.0,7.0,6.0,9.0,4.0,28861.0,7.0,5.0,5.0,,90.0,,1.0,,,,,,,2.0,,,,,90.0
5767161,16004399,10/26/2022 06:41:00 PM,10/27/2022 01:05:00 PM,10/27/2022 01:05:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"921 LEAVENWORTH ST, SAN FRANCISCO, CA, 94109",LEAVENWORTH ST,3.0,Lower Nob Hill,CENTRAL,37.78967354208,-122.415504330117,"(37.78967354, -122.41550433)",Mobile/Open311,http://mobile311.sfgov.org/reports/16004399/photos,50.0,6.0,3.0,21.0,10.0,13.0,1.0,28858.0,1.0,21.0,21.0,,50.0,,3.0,,,,,,,1.0,,,,,50.0
5104325,11382811,09/07/2019 02:11:31 PM,09/08/2019 11:13:00 AM,09/08/2019 11:13:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Liquids - Oil/Paint/Other,Intersection of CAPITOL AVE and DE MONTFORT AVE,CAPITOL AVE,11.0,Ingleside,TARAVAL,37.72374057903,-122.459162343638,"(37.72374058, -122.45916234)",Mobile/Open311,http://mobile311.sfgov.org/reports/11382811/photos,64.0,10.0,8.0,24.0,4.0,9.0,5.0,28861.0,8.0,24.0,24.0,,64.0,,8.0,19.0,,,19.0,,,2.0,,,,,64.0
5549251,8769251,03/21/2018 08:42:00 AM,10/26/2020 02:32:08 PM,10/26/2020 02:32:08 PM,Closed,Case Resolved - 3/22/18 inspected property for graffiti will transfer to AT&T to abate graffiti on sidewalk metal cover plate.pp..Transfer to radio room.,DPW Ops Queue,Graffiti,Graffiti on Sidewalk_in_front_of_property,Sidewalk_in_front_of_property - Not_Offensive,"3533 19TH ST, SAN FRANCISCO, CA, 94110",19TH ST,9.0,Mission Dolores,MISSION,37.759963120369,-122.42223403428,"(37.75996312, -122.42223403)",Mobile/Open311,http://mobile311.sfgov.org/reports/8769251/photos,37.0,3.0,5.0,20.0,5.0,2.0,7.0,28859.0,4.0,19.0,19.0,,37.0,,5.0,,,,,,,1.0,,,,,37.0
3549433,766461,11/05/2010 08:02:37 AM,11/08/2010 04:22:00 PM,11/08/2010 04:22:00 PM,Closed,See Notes tab for more details,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1015 WASHINGTON ST, SAN FRANCISCO, CA, 94108",WASHINGTON ST,3.0,Nob Hill,CENTRAL,37.794582366943,-122.410118103027,"(37.79458237, -122.4101181)",Phone,,16.0,6.0,3.0,21.0,10.0,3.0,1.0,28857.0,1.0,21.0,21.0,,16.0,,3.0,,,,,,,1.0,,,,,16.0
2703767,8654271,02/20/2018 08:47:00 AM,02/21/2018 03:13:00 AM,02/21/2018 03:13:00 AM,Closed,Case Resolved - Police Officer responded to request under CAD # 180510969. Advised of violation.,Police - Homeless Concerns Queue,Homeless Concerns,Individual Concerns,homeless_other,Intersection of 16TH ST and SOUTH VAN NESS AVE,16TH ST,9.0,Mission,MISSION,37.765263182589,-122.417549631337,"(37.76526318, -122.41754963)",Mobile/Open311,,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28853.0,4.0,19.0,19.0,12.0,53.0,,2.0,14.0,,3.0,14.0,,,2.0,,3.0,,,53.0
2001815,9211205,07/01/2018 02:22:42 PM,07/01/2018 02:52:41 PM,07/01/2018 02:52:41 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"345 CONGDON ST, SAN FRANCISCO, CA, 94112",CONGDON ST,11.0,Mission Terrace,INGLESIDE,37.7287905,-122.4258271,"(37.7287905, -122.4258271)",Web,,94.0,9.0,1.0,7.0,6.0,9.0,4.0,28861.0,7.0,5.0,5.0,16.0,94.0,,1.0,,,,,,,2.0,,,,,94.0
470835,6010027,06/23/2016 08:37:55 AM,07/27/2016 01:11:34 AM,07/27/2016 01:11:34 AM,Closed,Case Resolved - Damaged utility vault lid -  X1104: 1069731,DPW BSM Queue,Street Defects,Pavement_Defect,Pavement_Defect,Intersection of HAYES ST and POLK ST,HAYES ST,6.0,Civic Center,NORTHERN,37.77735728774,-122.417912492643,"(37.77735729, -122.41791249)",Mobile/Open311,http://mobile311.sfgov.org/reports/6010027/photos,21.0,4.0,10.0,36.0,9.0,7.0,6.0,28852.0,9.0,36.0,36.0,,21.0,1.0,10.0,,,1.0,,8.0,1.0,2.0,1.0,1.0,,,21.0
4942867,14827949,01/09/2022 05:15:00 PM,01/11/2022 05:50:10 AM,01/11/2022 05:50:10 AM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"1398 PACIFIC AVE, SAN FRANCISCO, CA, 94109",PACIFIC AVE,3.0,Nob Hill,CENTRAL,37.795593261719,-122.418159484863,"(37.79559326, -122.41815948)",Phone,,16.0,6.0,3.0,32.0,10.0,5.0,1.0,28858.0,1.0,32.0,32.0,,16.0,,3.0,,,,,,,1.0,,,,,16.0
2986175,13720955,04/17/2021 12:13:32 PM,04/28/2021 09:30:53 PM,04/28/2021 09:30:53 PM,Closed,Case Resolved - Per process - cases are closed 10 days after assignment.,Clear Channel - Transit Queue,Damaged Property,Damaged Transit_Shelter_Platform,Transit_Shelter_Platform,"4157 3RD ST, SAN FRANCISCO, CA, 94124",3RD ST,10.0,Bayview,BAYVIEW,37.739856652951,-122.388902139033,"(37.73985665, -122.38890214)",Mobile/Open311,http://mobile311.sfgov.org/reports/13720955/photos,86.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,86.0,,9.0,,,,,,,2.0,,,,,86.0
4013866,13496158,02/16/2021 09:39:00 AM,02/16/2021 10:06:35 AM,02/16/2021 10:06:35 AM,Closed,Case Resolved - Officer responded to request under CAD # 210470916.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Only,Dark grey - Jeep Patriot - 8CZX421,"1506 LYON ST, SAN FRANCISCO, CA, 94115",LYON ST,2.0,Lower Pacific Heights,RICHMOND,37.785065369716,-122.444769954423,"(37.78506537, -122.44476995)",Mobile/Open311,http://mobile311.sfgov.org/reports/13496158/photos,103.0,8.0,6.0,31.0,1.0,15.0,9.0,29490.0,6.0,31.0,31.0,,103.0,,6.0,,,,,,,1.0,,,,,103.0
4441913,12473452,05/30/2020 11:18:00 AM,05/30/2020 08:33:00 PM,05/30/2020 08:33:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"321 8TH AVE, SAN FRANCISCO, CA, 94118",8TH AVE,1.0,Inner Richmond,RICHMOND,37.782423155554,-122.46660082853,"(37.78242316, -122.46660083)",Mobile/Open311,http://mobile311.sfgov.org/reports/12473452/photos,5.0,8.0,4.0,11.0,2.0,11.0,9.0,54.0,6.0,11.0,11.0,,5.0,,4.0,,,,,,,1.0,,,,,5.0
5751007,15800861,09/09/2022 01:29:00 PM,09/10/2022 01:16:23 PM,09/10/2022 01:16:23 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"1844 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94115",GOLDEN GATE AVE,2.0,Western Addition,PARK,37.778526306152,-122.440979003906,"(37.77852631, -122.440979)",Phone,,97.0,7.0,11.0,39.0,11.0,15.0,8.0,29490.0,5.0,41.0,41.0,,97.0,,11.0,,,,,,,1.0,,,,,97.0
4408053,12550734,06/19/2020 02:06:00 PM,06/19/2020 03:05:11 PM,06/19/2020 03:05:11 PM,Closed,Case Resolved - Officer responded to request under CAD # 201711856. Unable to Locate.,Parking Enforcement Dispatch Queue,Parking Enforcement,Other_Illegal_Parking,Parking Enforcement,"795 31ST AVE, SAN FRANCISCO, CA, 94121",31ST AVE,1.0,Outer Richmond,RICHMOND,37.774223171607,-122.491042770063,"(37.77422317, -122.49104277)",Mobile/Open311,http://mobile311.sfgov.org/reports/12550734/photos,8.0,8.0,4.0,29.0,2.0,11.0,9.0,55.0,6.0,26.0,26.0,,8.0,,4.0,,,,,,,1.0,,,,,8.0
5706812,16099425,11/20/2022 04:01:00 PM,,11/20/2022 04:16:41 PM,Open,,RPD Park Service Area 1 Queue,Rec and Park Requests,Park - Structural_Maintenance,Recreation_Equipment,"Lafayette Park, , SAN FRANCISCO, CA, 94109",Lafayette Park,2.0,Pacific Heights,NORTHERN,37.792074,-122.4291006,"(37.792074, -122.4291006)",Mobile/Open311,http://mobile311.sfgov.org/reports/16099425/photos,102.0,4.0,6.0,30.0,1.0,13.0,6.0,28858.0,9.0,27.0,27.0,,102.0,,6.0,,,,,,,1.0,,,,,102.0
5535471,8513655,01/16/2018 02:38:00 PM,01/16/2018 02:59:55 PM,01/16/2018 02:59:55 PM,Closed,Case Resolved - WASTE NOT FOUND,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Mattress,"253 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",LEAVENWORTH ST,5.0,Tenderloin,TENDERLOIN,37.783301,-122.41423,"(37.783301, -122.41423)",Mobile/Open311,http://mobile311.sfgov.org/reports/8513655/photos,20.0,5.0,10.0,36.0,9.0,7.0,10.0,28852.0,10.0,36.0,36.0,17.0,20.0,1.0,10.0,18.0,,,18.0,6.0,1.0,2.0,1.0,,,,20.0
690083,14667627,11/28/2021 04:06:00 PM,11/29/2021 08:35:37 AM,11/29/2021 08:35:37 AM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of VALMAR TER and PERU AVE,VALMAR TER,11.0,Excelsior,INGLESIDE,37.725944519043,-122.424133300781,"(37.72594452, -122.4241333)",Phone,,90.0,9.0,2.0,7.0,7.0,9.0,4.0,309.0,7.0,5.0,5.0,,90.0,,2.0,,,,,,,1.0,,,,,90.0
1359130,15765263,08/31/2022 08:12:52 PM,09/01/2022 07:04:00 AM,09/01/2022 07:04:00 AM,Closed,Comment Noted,SFMTA - Parking Enforcement - G,General Request - MTA,complaint,parking_enforcement - complaint,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550324,742854,09/29/2010 03:11:40 PM,10/20/2010 12:09:34 PM,10/20/2010 12:09:34 PM,Closed,See Notes tab for more details,DPW Ops Queue,Graffiti,Graffiti on Building_residential,Building_residential - Post_Abatement_Inspection,"2978 16TH ST, SAN FRANCISCO, CA, 94103",16TH ST,9.0,Mission,MISSION,37.765190124512,-122.419166564941,"(37.76519012, -122.41916656)",Phone,,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28853.0,4.0,19.0,19.0,12.0,53.0,,2.0,14.0,,3.0,14.0,,,2.0,,3.0,,,53.0
5501103,7570403,08/30/2017 12:16:59 PM,09/02/2017 04:45:35 PM,09/02/2017 04:45:35 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"945 LARKIN ST, SAN FRANCISCO, CA, 94109",LARKIN ST,3.0,Lower Nob Hill,CENTRAL,37.786796569824,-122.418365478516,"(37.78679657, -122.41836548)",Phone,,50.0,4.0,10.0,36.0,9.0,13.0,6.0,28858.0,9.0,36.0,36.0,,50.0,,10.0,,,,,10.0,,2.0,,,,,50.0
3071504,11814558,12/14/2019 08:28:00 AM,12/20/2019 10:31:17 AM,12/20/2019 10:31:17 AM,Closed,Encampment Removed,Duplicate Case Hold Queue,Encampments,Encampment Reports,Encampment Cleanup,"61 COLTON ST, SAN FRANCISCO, CA, 94103",COLTON ST,6.0,South of Market,SOUTHERN,37.773030249411,-122.420186968842,"(37.77303025, -122.42018697)",Mobile/Open311,http://mobile311.sfgov.org/reports/11814558/photos,32.0,1.0,10.0,20.0,9.0,8.0,2.0,28853.0,2.0,19.0,19.0,,32.0,1.0,10.0,,,1.0,,,1.0,2.0,1.0,1.0,,,32.0
216667,536916,11/02/2009 02:00:54 PM,11/04/2009 08:16:24 PM,11/04/2009 08:16:24 PM,Closed,See Notes tab for more details,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"161 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,6.0,South of Market,SOUTHERN,37.780368804932,-122.407722473145,"(37.7803688, -122.40772247)",Web,,32.0,1.0,10.0,34.0,9.0,14.0,2.0,28853.0,2.0,34.0,34.0,24.0,32.0,1.0,10.0,6.0,14.0,,6.0,7.0,1.0,2.0,1.0,,,,32.0
2606844,6741297,01/17/2017 05:34:57 PM,01/18/2017 02:00:35 PM,01/18/2017 02:00:35 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1043 GRANT AVE, SAN FRANCISCO, CA, 94133",GRANT AVE,3.0,Chinatown,CENTRAL,37.796552478899,-122.406901567097,"(37.79655248, -122.40690157)",Mobile/Open311,http://mobile311.sfgov.org/reports/6741297/photos,104.0,6.0,3.0,6.0,10.0,3.0,1.0,308.0,1.0,4.0,4.0,,104.0,,3.0,,17.0,,,,,2.0,,,,,104.0
738563,4137337,10/23/2014 08:42:09 AM,10/23/2014 02:05:00 AM,10/23/2014 02:05:00 AM,Closed,Case Completed - resolved: Completed,DPW Ops Queue,Graffiti,Graffiti on Fire_Police_Callbox,Fire_Police_Callbox - Offensive,Intersection of CLAYTON ST and OAK ST,CLAYTON ST,5.0,Panhandle,PARK,37.771667480469,-122.448959350586,"(37.77166748, -122.44895935)",Web,,24.0,7.0,11.0,3.0,11.0,15.0,8.0,29492.0,5.0,9.0,9.0,22.0,24.0,,11.0,24.0,,,25.0,,,1.0,,,,,24.0
3669352,1138106,06/04/2012 08:52:29 AM,06/04/2012 02:55:11 PM,06/04/2012 02:55:11 PM,Closed,"Case Resolved - Complaint #201235061 has been filed at the Department of Building Inspection. The complaint can be tracked on our website at www.sfdbi.org
 311 SR#1138106",DBI Inspection Services Queue,General Request - BUILDING INSPECTION,request_for_service,inspection_services - request_for_service,"2000 ULLOA ST, SAN FRANCISCO, CA, 94116",ULLOA ST,4.0,Parkside,TARAVAL,37.741241455078,-122.477851867676,"(37.74124146, -122.47785187)",Phone,,40.0,10.0,7.0,35.0,3.0,1.0,5.0,29491.0,8.0,35.0,35.0,,40.0,,7.0,,,,,,,1.0,,,,,40.0
2644438,5166866,10/07/2015 10:09:48 AM,11/20/2017 10:30:32 AM,11/20/2017 10:30:32 AM,Closed,Case Resolved - Closed,Housing Authority SR Queue,SFHA Requests,Plumbing,Plumbing - Routine,"117 CAMERON WAY, SAN FRANCISCO, CA, 94124",CAMERON WAY,10.0,Bret Harte,BAYVIEW,37.71960067749,-122.387001037598,"(37.71960068, -122.38700104)",Phone,,88.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,88.0,,9.0,,,,,,,2.0,,,,,88.0
3889560,820052,02/04/2011 05:34:35 PM,02/05/2011 02:11:02 PM,02/05/2011 02:11:02 PM,Closed,See Notes tab for more details,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of HALE ST and SAN BRUNO AVE,HALE ST,9.0,Portola,BAYVIEW,37.732963562012,-122.405906677246,"(37.73296356, -122.40590668)",Phone,,91.0,2.0,2.0,25.0,7.0,10.0,3.0,309.0,3.0,28.0,28.0,,91.0,,2.0,,,,,,,2.0,,,,,91.0
5122166,11675320,11/11/2019 05:25:00 PM,11/12/2019 11:00:24 AM,11/12/2019 11:00:24 AM,Closed,Case is Invalid - Requests related to the concern or well-being of individuals not in an encampment are not handled by 311.,HSOC Individual Queue,Encampments,Encampment Reports,Encampment Cleanup,Intersection of 2ND ST and MARKET ST,2ND ST,6.0,Financial District,CENTRAL,37.789160933041,-122.401229083052,"(37.78916093, -122.40122908)",Mobile/Open311,http://mobile311.sfgov.org/reports/11675320/photos,108.0,6.0,10.0,8.0,9.0,12.0,2.0,28855.0,2.0,6.0,6.0,,108.0,,10.0,,,,,,,1.0,,,,,108.0
3167438,11525891,10/09/2019 08:04:00 AM,10/09/2019 08:38:00 AM,10/09/2019 08:38:00 AM,Closed,Unable to Locate,311 Supervisor Queue,Street and Sidewalk Cleaning,Medical Waste,Needles,"475 VAN NESS AVE, SAN FRANCISCO, CA, 94102",VAN NESS AVE,5.0,Civic Center,NORTHERN,37.7797,-122.42,"(37.7797, -122.42)",Mobile/Open311,http://mobile311.sfgov.org/reports/11525891/photos,21.0,4.0,10.0,36.0,9.0,7.0,6.0,28852.0,9.0,36.0,36.0,,21.0,1.0,10.0,,,1.0,,8.0,1.0,2.0,1.0,1.0,,,21.0
4100597,12600546,07/01/2020 06:09:00 PM,02/23/2021 12:00:00 AM,02/23/2021 12:00:00 AM,Closed,"Case Resolved - 7.6.20: condition found as complained about. jd -  X1104: 1197053
9.21.20: send email to Tim Rice@PG&E for prompt assistance. jd X1104: 1201767 X1104: 1201768 X1104: 1201768 X1104: 1201768 X1104: 1201768
2.23.21: closed. jd",DPW BSM Queue,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,Intersection of BURROWS ST and HOLYOKE ST,BURROWS ST,9.0,Portola,BAYVIEW,37.72752762,-122.40908051,"(37.72752762, -122.40908051)",Mobile/Open311,http://mobile311.sfgov.org/reports/12600546/photos,91.0,2.0,2.0,25.0,7.0,10.0,3.0,309.0,3.0,28.0,28.0,,91.0,,2.0,,,,,,,2.0,,,,,91.0
1130719,1933812,01/24/2013 03:12:11 PM,03/06/2013 02:56:35 AM,03/06/2013 02:56:35 AM,Closed,Case Completed - resolved:,DPW Ops Queue,Graffiti,Graffiti on Building_other,Building_other - Not_Offensive,"1264 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,6.0,South of Market,SOUTHERN,37.774311065674,-122.411148071289,"(37.77431107, -122.41114807)",Integrated Agency,,32.0,1.0,10.0,34.0,9.0,8.0,2.0,28853.0,2.0,34.0,34.0,,32.0,1.0,10.0,,,1.0,,,,2.0,,1.0,,,32.0
2611699,6740903,01/17/2017 04:20:46 PM,06/06/2017 11:31:03 AM,06/06/2017 11:31:03 AM,Closed,Case Resolved - 1/18/17 inspected property posted nov.gd,DPW Ops Queue,Graffiti,Graffiti on Building_commercial,Building_commercial - Offensive,"160 CHURCH ST, SAN FRANCISCO, CA, 94114",CHURCH ST,8.0,Duboce Triangle,PARK,37.768255767877,-122.429229251321,"(37.76825577, -122.42922925)",Mobile/Open311,http://mobile311.sfgov.org/reports/6740903/photos,28.0,7.0,5.0,5.0,5.0,7.0,6.0,28862.0,9.0,3.0,3.0,18.0,28.0,,5.0,20.0,,,20.0,9.0,,1.0,,5.0,,,28.0
14438,6432250,10/18/2016 08:23:43 AM,10/18/2016 02:26:00 PM,10/18/2016 02:26:00 PM,Closed,Cancelled -  Thank you for the feed back. Public Works is going through are systems along Sunset Blvd to audit them and correct leaks and repair as needed. At times you will see water running for scheduled times and we are working to minimize used water.,DPW - Bureau of Street Environmental Services - G,General Request - PUBLIC WORKS,complaint,bses - complaint,Intersection of SUNSET BLVD and RIVERA ST,SUNSET BLVD,4.0,Outer Sunset,TARAVAL,37.745951608551,-122.494706449976,"(37.74595161, -122.49470645)",Phone,,39.0,10.0,7.0,35.0,3.0,1.0,5.0,29491.0,8.0,35.0,35.0,,39.0,,7.0,,,,,,,1.0,,,,,39.0
1414332,9918335,12/11/2018 06:55:53 AM,12/11/2018 09:32:30 AM,12/11/2018 09:32:30 AM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"985 BUSH ST, SAN FRANCISCO, CA, 94102",BUSH ST,3.0,Lower Nob Hill,CENTRAL,37.78918377,-122.413308826172,"(37.78918377, -122.41330883)",Mobile/Open311,http://mobile311.sfgov.org/reports/9918335/photos,50.0,6.0,3.0,21.0,10.0,5.0,1.0,28858.0,1.0,21.0,21.0,,50.0,,3.0,,,,,,,2.0,,,,,50.0
2738995,14973671,02/12/2022 09:44:23 AM,,02/12/2022 09:50:04 AM,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Damaging_Property,Lifted_sidewalk_tree_roots,"1150 BACON ST, SAN FRANCISCO, CA, 94134",BACON ST,9.0,University Mound,BAYVIEW,37.7248708,-122.414672,"(37.7248708, -122.414672)",Web,,92.0,2.0,2.0,25.0,7.0,9.0,3.0,309.0,3.0,28.0,28.0,,92.0,,2.0,,,,,,,1.0,,,,,92.0
2905027,16009796,10/28/2022 08:35:47 AM,,11/01/2022 06:15:12 AM,Open,accepted,DPW BSM Queue,Sidewalk or Curb,Missing_Side_Sewer_Vent_Cover,Missing_Side_Sewer_Vent_Cover,"337 FULTON ST, SAN FRANCISCO, CA, 94102",FULTON ST,5.0,Civic Center,NORTHERN,37.778754286745,-122.422388885985,"(37.77875429, -122.42238889)",Mobile/Open311,http://mobile311.sfgov.org/reports/16009796/photos,21.0,4.0,11.0,9.0,11.0,7.0,6.0,28852.0,9.0,10.0,10.0,,21.0,1.0,11.0,,,1.0,,,,1.0,,1.0,,,21.0
5025261,15474213,06/19/2022 11:50:00 PM,06/20/2022 12:43:19 AM,06/20/2022 12:43:19 AM,Closed,Case Resolved - See CAD# 221702956 for details.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Tow,Black - Infiniti  - 7GPA958,"1592 UNDERWOOD AVE, SAN FRANCISCO, CA, 94124",UNDERWOOD AVE,10.0,Bayview,BAYVIEW,37.7297927,-122.39159671,"(37.7297927, -122.39159671)",Phone,,86.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,86.0,,9.0,,,,,,,2.0,,,,,86.0
2762038,15180854,04/05/2022 01:29:49 PM,04/06/2022 03:55:56 PM,04/06/2022 03:55:56 PM,Closed,Case Resolved - Pickup completed,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1833 PAGE ST, SAN FRANCISCO, CA, 94117",PAGE ST,5.0,Haight Ashbury,PARK,37.77016004,-122.45101422,"(37.77016004, -122.45101422)",Mobile/Open311,http://mobile311.sfgov.org/reports/15180854/photos,25.0,7.0,11.0,3.0,11.0,15.0,8.0,29492.0,5.0,9.0,9.0,22.0,25.0,,11.0,24.0,,,25.0,,,1.0,,,,,25.0
2033657,9083922,06/02/2018 09:59:49 AM,06/02/2018 09:59:51 AM,06/02/2018 09:59:51 AM,Closed,Case is Invalid - Contact name and phone number are required to submit a request for Blocked Driveway enforcement. Please resubmit with contact information for enforcement.,Parking Enforcement Review Queue,Parking Enforcement,Blocking_Driveway_Cite_Tow,Parking Enforcement,"1518 REVERE AVE, SAN FRANCISCO, CA, 94124",REVERE AVE,10.0,Bayview,BAYVIEW,37.731045,-122.388538,"(37.731045, -122.388538)",Web,http://mobile311.sfgov.org/reports/9083922/photos,86.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,86.0,,9.0,,,,,,,2.0,,,,,86.0
4325504,12766047,08/12/2020 03:17:00 PM,,08/12/2020 03:25:11 PM,Open,accepted,DPW Ops Queue,Tree Maintenance,Trees - Damaging_Property,Lifted_sidewalk_tree_roots,"2346 35TH AVE, SAN FRANCISCO, CA, 94116",35TH AVE,4.0,Parkside,TARAVAL,37.743274688721,-122.492744445801,"(37.74327469, -122.49274445)",Phone,,40.0,10.0,7.0,35.0,3.0,1.0,5.0,29491.0,8.0,35.0,35.0,,40.0,,7.0,,,,,,,1.0,,,,,40.0
3139205,11579784,10/21/2019 11:13:00 AM,10/23/2019 07:04:00 AM,10/23/2019 07:04:00 AM,Closed,Case is a Duplicate - 11577690,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicles,DPT Abandoned Vehicles Low,"15 TERESITA BLVD, SAN FRANCISCO, CA, 94127",TERESITA BLVD,7.0,Miraloma Park,INGLESIDE,37.7450934,-122.4517865,"(37.7450934, -122.4517865)",Web,,72.0,9.0,8.0,41.0,4.0,9.0,4.0,59.0,7.0,40.0,40.0,,72.0,,8.0,,,,,,,1.0,,,,,72.0
2662547,8804252,03/29/2018 01:55:00 PM,,04/04/2018 07:30:14 PM,Open,open,DPW BSM Queue,Street Defects,other,other,Intersection of ANZA ST and 19TH AVE,ANZA ST,1.0,Inner Richmond,RICHMOND,37.778457641602,-122.478164672852,"(37.77845764, -122.47816467)",Phone,,,8.0,4.0,29.0,2.0,11.0,9.0,55.0,6.0,26.0,26.0,,,,4.0,,,,,,,1.0,,,,,
